Sentence,Aspect,Polarity
Garsonla konuştuğumuzda o sadece dinliyorum dedi.,Garsonla,0
Sipariş ettiğim latte yerine çay getiren kafe oldukça hayal kırıklığı yarattı.,getiren kafe,0
"Kullanılmayan tabaklar masanın üstünde duruyor, kimse ilgilenmiyor.",ilgilenen,0
"Soğuk, yeterince demlenmemiş çayla servis yapıldı.",çay servisi,0
Manzara harika bir deneyim sunuyor burada.,Manzara,2
Burada manzara gerçekten etkileyici ama fiyatlar çok yüksek.,fiyatlar,0
Mado'nun sunduğu hizmet gerçekten vasat.,hizmet,0
Ev yemekleri her zaman taze ve doyurucu. Gerçekten evde yapılan yemeklerin tadı bir başka.,Ev yemekleri,2
Ev yemekleri her gün farklı bir tat sunuyor - Gerçekten anne yapımı gibi lezzetli ev yemekleri...,ev yemekleri,2
"Mekan oldukça dar, bu yüzden hemen kalabalıklaşıyor.",Mekan,0
Akşamları masa bulmakta zorlanıyoruz.,masa bulmakta zorlanıyoruz,0
Ürünlerin tadı harika ve fiyatları da oldukça makul .,fiyat,2
Çoğu zaman yemekler harika ve maliyet de makul .,yemekler,2
"Harika bir atmosfer, lezzetli yemekler ve muhteşem içecekler var, manzara da oldukça etkileyici ama biraz beklemek zorunda kalabilirsiniz.",atmosfer,2
"Çok hoş bir ortam, sunulan yemekler ve içecekler harika, manzara da oldukça etkileyici, elbette bu güzel deneyim için biraz beklemeniz gerekecek.",yemekler,2
"Harika bir atmosfer, lezzetli yemekler ve muhteşem içecekler var, manzara da gerçekten etkileyici, ama biraz beklemek zorunda kalabilirsiniz.",içecekler,2
"Harika bir atmosfer var, yemekler ve içecekler mükemmel, manzara da göz kamaştırıcı ama biraz beklemek zorunda kalabilirsiniz.",manzara,2
İçerikler harika fakat sosu pek beğenemedim.,İçerikler,2
Malzemeler harika fakat hamur pek hoşuma gitmedi.,hamur,0
Mekan oldukça hoş bir atmosfere sahip.,mekan,2
Alkol kullanımı bazı insanlar için sorun yaratabilir.,Alkol,0
Gittiğim lokantada yediğim yemekler oldukça tuzluydu.,yemekler,0
Yemekler harika olsa da köprünün gürültüsü manzarayı bozuyor.,Yemekler,2
"Yemekler harika olsa da FSM köprüsünün başınızın üstünde tehditkar bir şekilde durması, manzaranın tadını bozuyor.",manzaranın,0
Yemeklerin tadı harika ama fiyatları çok yüksek.,Yemek fiyatları,0
Otopark hizmeti oldukça iyi.,Otopark hizmeti,2
Rock'n Roll burger harika bir lezzete sahip.,Rock'n Roll burger,2
Burger ekmeği çok sertti ve çiğnemekte zorlandım.,Burger ekmeği,0
İçindeki sos pek de iştah açıcı değildi.,sos,0
"Mekan oldukça hoş, gidilmesi gereken bir yer.",Mekan,2
"Ortam oldukça ilginç bir atmosfere sahip, akşamları arkadaşlar sohbet ederken keyifli anlar yaşıyorlar.",Ortam,1
Hafta sonları genellikle ailelerin buluşma noktası haline geliyor.,buluşma noktası,1
"Yemeklerin harika, fakat tatlılar çok kötü.",Yemekler,2
"Yemeklerin lezzetli ve çayları harika, gerçekten çok beğendim.",çayları,2
"Ücretler oldukça makul, gerçekten de iyi bir tercih.",Ücretler,2
"Eğer kendilerine ait biraları olsaydı, kesinlikle daha keyifli olurdu ama mevcut biralardan yararlanmak zorunda kaldık.",biraları,0
Bunun dışında çalışanlar çok ilgili ve mekan oldukça ferah.,çalışanlar,2
"Bu mekanın dışında, çalışanlar oldukça nazik ve ortam ferah.",çalışanlar,2
"Ortam oldukça hoş, garsonlar cana yakın ve hizmet kalitesi yüksek.",ortam,2
Yemekler gerçekten lezzetli ve çeşitli.,Yemekler,2
Hafta sonu ailemle gidebileceğimiz harika bir yer.,yer,2
Restoranın sunduğu çeşitli lezzetler gerçekten harika.,lezzetler,2
Zengin ve çeşitli yemek seçenekleri sunan restoranı gerçekten beğeniyorum.,restoranı,2
"Magnolia'nın lezzeti harika, fakat sunumu yetersiz.",Magnolia'nın,1
"Limonata harika, ama tatlıları da bir o kadar lezzetsiz.",limonata,2
Bu restoranın yemekleri gerçekten harika bir şekilde hazırlanıyor.,hazırlanıyor,2
Somon ızgarası gerçekten başarılı bir lezzet.,Somon ızgarası,2
Harika bir akşam yemeği deneyimi yaşadım.,akşam yemeği,2
Bahçesi oldukça hoş ve ferah.,Bahçesi,2
Oyun alanında harika bir kaydırak bulunuyor.,Kaydırak,2
Yazın güneşli günlerde dondurma harika bir tercih oluyor.,dondurma,2
"Boğazın en keyifli köşelerinden birinde, hoş, samimi ve şık dekorasyonu ile harika manzarası, dinamik müşteri kitlesi, nefis lezzetleri yetmezmiş gibi güler yüzlü dostane servisi de olağanüstü.",lezzetleri,2
"Şehrin en etkileyici köşelerinden birinde, modern, şık ve rahat bir atmosferi ile harika bir manzara, dinamik bir müşteri profili, hoş melodileri yanında güler yüzlü dostça hizmeti de olağanüstü.",köşelerinden,2
"Şehrin en popüler mekanlarından birinde, ferah, modern ve hoş bir atmosferi, keyifli müzikleri, genç kalabalığı, lezzetli yemekleri yanında güler yüzlü, samimi bir hizmeti de harika.",hizmeti,2
"Şehrin en gözde mekanlarından birinde, ferah, şık ve modern tasarımı ile etkileyici manzarası, genç ziyaretçi profili, hoş melodileri yetmezmiş gibi güler yüzlü samimi servisi de harika.",tasarımı,2
"Şehrin en keyifli köşelerinden birinde, sıcak, samimi ve estetik dekorasyonu ile harika bir manzaraya sahip olan mekan, genç ziyaretçileri, hoş melodileri ve güler yüzlü hizmeti ile de dikkat çekiyor.",manzaraya,2
Kahvaltı çeşitleri oldukça başarılı.,Kahvaltı çeşitleri,2
Yemekler oldukça lezzetli ama sunum yetersiz.,Yemekler,2
"Bu özellikleri değerlendirdiğimizde, ücretler oldukça uygun görünüyor.",ücretler,2
Beşiktaş'taki en lezzetli kebapçıdan bahsedebilirim.,kebapçı,2
"Ürünlerin fiyatları 15-20 TL arasında değişiyor, bu da oldukça makul.",fiyatları,1
"Fiyatlar 10-15 TL arasında, porsiyonları 2 olarak artırmak da mümkün.",porsiyonları,1
Performansımdan sadece yavaş olduğu için vazgeçiyorum!,vazgeçiyorum,2
Otobüs durağının tam karşısında ulaşım oldukça rahat.,ulaşım,2
"Porsiyonu oldukça doyurucu, malzemesi zengin ama servis konusunda pek memnun kalmadım.",porsiyonu,2
"Porsiyonu yeterli, içindeki malzemeler çok çeşitli ama servis konusunda aynı memnuniyeti yaşayamadım.",malzemeler,2
"Porsiyonu yeterli, içindeki malzemeler oldukça zengin ama servis konusunda aynı memnuniyeti yaşayamadım.",malzemeler,2
"Porsiyonu yeterli, malzemesi zengin, hamuru gevrek ama sunum için aynı memnuniyeti yaşamadım.",sunum,0
Hizmet gerçekten çok yavaş.,hizmet,0
Beşiktaş'ta tadına varabileceğiniz en lezzetli kebap ama mangalda pişenin tadı bir başka.,kebap,2
"Tatlı çeşitleri oldukça zengin, baklava ve dondurma mevcut ama pizza geç gelince tatlı siparişi düşündürüyor.",tatlı,2
"Tatlı çeşitleri oldukça zengin, sufle ve künefe mevcut ama pide o kadar geç geldi ki insanı tatlı siparişi vermekten alıkoyuyor.",geç geldi,0
"Eski seviyesini kaybetmiş olsa da yine de memnunuz, talep çok olunca ister istemez kalite ve hizmet düşüşe geçiyor park alanları sorunlu fiyatlar makul",park alanları,0
"Fiyatlar eskisi kadar uygun olmasa da yine de makul diyebiliriz, yoğun talep nedeniyle kalite ve hizmet ortalama seviyeye iniyor, etler kendi çiftliklerinden geliyor ama otopark sıkıntısı var.",fiyatlar,1
"Geçmişteki kadar harika olmasa da yine de tatlı diyelim, yoğun ilgi nedeniyle hizmet ve malzeme standartları düşüyor, ürünlerin tazeliği sorunlu fiyatlar makul.",hizmet,0
"Geçmişteki gibi olmasa da yine de memnun edici, yoğun talep olunca kalite ve hizmet ortalama seviyeye iniyor, etler kendi çiftliklerinden geliyor ama otopark sıkıntılı, fiyatlar makul.",servis,1
"Görünümü harika olan kafe, ama ortam hakkında pek bir şey söyleyemem.",Görünümü,2
Ürünlerin fiyatları oldukça makul.,fiyatlar,2
Otopark durumu oldukça iyi.,Otopark,2
"Doğayla iç içe, ferah bir alan.",alan,2
Kuru fasulyesi gerçekten harika bir tat.,Kuru fasulyesi,2
Sutlacı gerçekten harika bir tatlı.,Sutlacı,2
Köftesi gerçekten lezzetliydi.,Köftesi,2
Mekan oldukça hoş ve ferah.,mekan,2
Personel oldukça yardımsever.,Personel,2
Parkta temizlik eksikliği var.,Park,0
Otoparkı oldukça geniş ama güvenliği yeterli değil.,Otoparkı,1
Pazar günleri kahvaltıdan başka bir alternatif yok.,alternatif,0
Brunch menüsü oldukça sıradan.,Brunch,1
Restoranda sipariş ettiğimiz salatanın fiyatının yüksek olması gerçekten üzücü.,fiyat,0
Restoranın yeri mükemmel fakat kalabalık olduğunda yer bulmak zorlaşıyor.,Restoranın yeri,1
"Bu kahvaltı için 79TL ödemek, sadece 3 dilim peynir için 7TL ek ücret talep edilmesi mantıksız.",kahvaltı,0
"Bu restoranda verilen kahvaltı için 75TL ödemek, sadece 3 dilim peynir için 10TL ek ücret istemek mantıksız.",ücret,0
Geçen hafta gittiğimiz restoranda yemeklerimiz geç geldiği için oldukça hayal kırıklığına uğradık.,yemeklerimiz,0
"Gerçekten harika bir tat, kebap sunumu ise mükemmel.",tat,2
"Sadece harika bir tat, dönerin kesimi gerçekten ustalıkla yapılmış.",dönerin kesimi,2
Yanında sundukları pide ise şimdiye kadar tattığım en nefis pideydi.,pide,2
Siparişinizi verir vermez hemen ilgileniyorlar ve hızlıca servis ediyorlar.,siparişiniz,2
Masanın üzerinde taze sebzeler ve çıtır patatesler var.,taze sebzeler ve çıtır patatesler,1
Kesinlikle en lezzetli kebapçı burası.,kebapçı,2
Büyük aşçılar sürekli olarak abartılmış bir kafede yemek yapıyorlar.,kafede,0
Çünkü size uygun olmayan fiyatlar teklif eder.,fiyatlar,0
"Bu mekanda bir pizza 50 TL, bir tatlı ise 30 TL. Böyle fiyatlarla asla gelmem.",tatlı,0
"Bu restoranın fiyatları oldukça yüksek, kesinlikle gidilmez.",fiyatları,0
"Bu restoranda bir kahve 15 tl, bir dilim pasta ise 25 tl. Bu fiyata asla gelmem.",restoran,0
Bu tür yerlerin fiyatlarını biraz daha makul seviyelere çekmeleri gerekiyor !,Fiyatlarını,0
"Tatlılar - Tatlıları harika, baklava özellikle tadılmalı fakat ana yemek kadar doyurucu görünmüyor dikkat!",Tatlıları,2
"Tatlılar - Tiramisu harika bir lezzet, kesinlikle denemelisiniz fakat ana yemek kadar doyurucu değil gibi görünüyor!",tiramisu,1
"Şekersiz kekin tadı çok yoğun, sağlıklı beslenenler dikkat etsin!",Şekersiz kek,0
Yemekler çok lezzetsiz ve soğuktu.,Yemekler,0
Mekan sürekli ses kirliliğiyle dolu.,Mekan,0
Garsonlar ilgilenmek yerine sürekli telefonla oynuyor.,Garsonlar,0
Harika - Mekan olarak oldukça hoş bir yer değil ama çalışırken ara öğünler için sıkça uğruyoruz.,ara öğünler,2
Harika - Lokasyon açısından oldukça hoş bir mekan değil ama çalışırken ara sıra kahvaltı için uğruyoruz.,Lokasyon,0
"Restoranın atmosferi gerçekten harika, özellikle iç dekorasyonu çok hoş.",Restoranın atmosferi,2
"Bu akşam yediğimiz yemekler harikaydı, özellikle kuzu tandır mükemmel bir seçim.",Kuzu tandır,2
Köftenin tadı pek hoş değil.,Köftenin,0
"Personel ilgisiz, gülümseme yok.",Personel,0
Personel ilgisiz ve güleryüzsüz.,güleryüz,0
Manzara harika bir deneyim sunuyor.,Manzara,2
"Masalar çok yakın yerleştirilmiş, alışverişte dondurulmuş köfte alıp evde hazırlayabilirsiniz.",Masalar,0
Sıradan - Sıradan köfteleri bulunan bir yer...,köfteleri,0
Kebap için kesinlikle tercih edilmez ama mezeleri harika.,Kebap,1
Kebap harika bir seçenek değil ama tatlıları gerçekten muhteşem.,tatlıları,2
"Sunum gerçekten harikaydı, çok beğendik.",Sunum,2
Tüm katılımcılar son derece hevesli ve samimiydi.,Tüm katılımcılar,2
Tavuk şiş ve sebzeli dürüm sipariş verdik.,Tavuk şiş,1
D Tavuk şiş ve sebzeli dürüm sipariş ettik.,sebzeli dürüm,1
"Kızarmış tavuk yanında sunulan patates püresi harikaydı, genel olarak yemek oldukça lezzetliydi.",patates püresi,2
"Izgara tavuk yanında sunulan sebzeler harikaydı, ana yemek gerçekten lezzetliydi.",yemek,2
Etli dürümün tadı gerçekten harikaydı.,Etli dürümün,2
Burada vakit geçirmek çok keyifli.,mekan,2
"Şarkılar, ortamı, sunumu harika.",Şarkılar,2
"Ortamı, sunumu, tatları harika.",sunumu,2
Restoranın dekorasyonu ve hizmeti harika.,hizmeti,2
Geniş bir alan sunuyor ve grup etkinlikleri için ideal bir mekan.,alan,2
Rahat bir mekan sunuyor ve büyük gruplar için de ideal bir alan.,alan,2
Personel oldukça yardımcı ve samimi.,Personel,2
Bu kadar kötü bir yerle karşılaşacağınızı düşünmezsiniz konumundan dolayı.,konumu,0
"Bu kafenin terasından görünen manzara gerçekten muhteşem, deniz manzarası harika!",manzara,2
"Yemekler harika, fiyatlar ise restorana göre oldukça makul.",fiyatlar,2
") yemekler harika, fiyatlar ise mekanın kalitesine göre oldukça makul.",yemekler,2
Tavukgöğsü harika bir lezzet sunuyor.,Tavukgöğsü,2
"Kötü bir yerden rezervasyon yaptırdığım için misafirlerimle zor anlar yaşadım, çalışanların tutumları ve ilgileri tam bir fiyaskoydu.",yer,0
"Rezervasyon yaptırdığım o mekanda misafirlerime kötü bir deneyim yaşattım, çalışanların tutumları gerçekten çok kötüydü.",Çalışanların tutumları,0
Evde yapılan yoğurtları kesinlikle tatmalısınız.,Evde yapılan yoğurtları,2
Geçmişte bıraktığımız o eşsiz yoğurdun lezzetini yeniden keşfedeceksiniz.,yoğurdun,2
Ücretleri oldukça makul.,Ücretleri,2
Zengin bir akşam yemeği sonrasında genellikle 20-30 TL'ye restorandan ayrılabilirsiniz.,20-30 TL'ye,2
"Mekanın düzeni harika, özellikle duvarda asılı olan tablolar göz alıcı.",Düzen,2
"Mekanın tasarımı gerçekten harika, özellikle köşede yer alan çiçekler göz alıcı.",çiçekler,2
Mükemmel bir şekilde karşılandık ve her anımızda özel hissettik.,karşılandık,2
Her şeyin tadına bakmak gerçekten keyifliydi.,Her şeyin,2
Restorandaki en sevdiğim lezzetler arasında kebap ve lahmacun bulunuyor.,kebap ve lahmacun,2
"Kavurmali börek harika, kesinlikle tekrar sipariş edeceğim.",Kavurmali börek,2
Tatlılarda muhallebi gerçekten harikaydı.,muhallebi,2
"İrmik tatlısının tadı harika, dokusu ise oldukça hafifti.",İrmik tatlısının,2
"İrmik helvasının tadı harikaydı, tavuk göğsü de lezzetliydi ve hafif bir dokusu vardı.",tavuk göğsü,2
"Bu mekan oldukça popüler, özellikle iş insanlarının sıkça tercih ettiği bir alan.",alan,2
"Restoranın yemekleri son zamanlarda pek beğenilmiyor, özellikle tatlıları çok kötüleşti.",Yemekleri,0
"Yemeklerin lezzeti artık eskisi gibi değil, özellikle mantısı bir hayal kırıklığı.",mantısı,0
"Farklı farklı tatların sunulması gerçekten harika, ister sebze yemekleri ister et yemekleri insanı dışarıda yemek yemekten vazgeçiriyor.",yemeklerin,2
"Zeytinyağlı yemekleri harika, fakat tatlıları pek beğenmedim.",Zeytinyağlı yemekleri,2
"Zeytinyağlı tabağı harika, mezeleri de oldukça bol. Kesinlikle denemelisiniz.",mezeleri,2
ve buradaki atmosfer oldukça rahatsız edici olduğu için talihsiz bir mekan.,mekan,0
"İstanbul'un en güzel köşelerinden biri olan bu kafe, kesinlikle ziyaret edilmeli.",kafe,2
) Hamburger gerçekten çok lezzetli ve yanında patates kızartması da harika.,Hamburger,2
) Hamburger gerçekten çok lezzetli ama pizza da harika bir seçenek.,Pizza,2
Yemek olarak genellikle pizza tercih ettiğim için salatalar hakkında bir yorumda bulunamayacağım.,salatalar,1
Artık bu kafenin yemeklerini sevmiyorum.,bu kafe,0
"Hizmet kalitesi oldukça yüksekti, personel çok nazik ama yemeklerin lezzeti önceki gibi değil.",Hizmet kalitesi,1
"Hizmet kalitesi oldukça yüksekti, personel oldukça samimi ama yemeklerin lezzeti eskisi gibi değil.",personel,2
"Hizmeti oldukça başarılıydı, personel çok nazikti ama yemeklerin lezzeti eskisi gibi değil.",yemeklerin,0
"Çilekli dondurması gerçekten harika, ama fiyatı biraz yüksek.",çilekli dondurması,2
Bu kadar güzel bir manzara ve yer için beklenen son mekan gerçekten hayal kırıklığıydı.,mekan,0
"Bu muhteşem manzara ve harika konum, gerçekten hayranlık uyandırıyor.",manzara ve konum,2
Yemekler oldukça lezzetli.,Yemekler,2
Özellikle zeytinyağlılar harika bir lezzete sahip.,zeytinyağlılar,2
"Boğaziçi'nde bulunan restoran, taze deniz ürünleri sunmasıyla dikkat çekiyor.",taze deniz ürünleri,2
Fakat bu restoranın yemek servisi gerçekten çok yavaş.,yemek servisi,0
Özellikle öğle saatlerinde 45 dakikadan fazla beklemek zorunda kalabilirsiniz.,beklemek,0
Beklemek zorunda kalmak hoş değil ama sonuçta güzel bir deneyim yaşayacağım.,beklemek,0
"Geçen sefer yediğimiz fırında sebze de lezzetsizdi, bir daha sipariş vermeyeceğiz.",fırında sebze,0
"Görünümü harika, iç mekan düzenlemesi oldukça etkileyiciydi, brunch için gittik brunch çok lezzetliydi ama krep hiç hoşuma gitmedi, bayat gibiydi.",Görünümü,2
"Manzarası harika, hizmet oldukça iyiydi, akşam yemeği için geldik yemekler lezzetliydi fakat tatlıyı pek beğenmedim, çok sıradandı.",hizmet,2
"Manzarası harika, dekorasyon oldukça etkileyiciydi, brunch için geldik brunch çok lezzetliydi ama pankekleri pek beğenmedim, tadı yetersizdi.",brunch,2
"Manzarası harika, dekorasyon oldukça etkileyiciydi, kahvaltı için tercih ettik, kahvaltı güzeldi fakat omletin tadı pek hoş değildi.",omlet,0
"Kahvaltıda her şey oldukça lezzetliydi, özellikle zeytin ve peynir tabakları çok dikkat çekiciydi, sunumları gerçekten göz alıcıydı.",sunumları,2
"Kahvaltıda her şey çok lezzetliydi, özellikle zeytin ve peynir sunumu harikaydı, gerçekten güzel bir deneyim yaşattılar.",kahvaltıya,2
Sabah kahvaltısında çeşit bol ama tabaklar çok küçüktü ve sunum pek iyi değildi.,Kahvaltısı,0
Kahvaltı için tercih edilebilir fakat garsonlar yemekleri sunarken gördüğüm kadarıyla tabaklar oldukça küçüktü ve sunum hiç hoş değildi.,sunum,0
Kahvaltı için tercih edilebilir fakat garsonlar yemekleri getirirken porsiyonlar oldukça küçüktü ve sunum beni tatmin etmedi.,porsiyonlar,0
Genel olarak manzarası için tercih edilebilecek bir mekan sadece .,mekan,0
Görülmeye değer bir manzarası var bu mekanın kesinlikle.,manzarası,2
"Düğün sonrası kutlamamızda yemekler harikaydı, hizmet gerçekten çok nazik ve özenliydi.",hizmet,2
"Düğünümüz için burada harika bir akşam yemeği yedik, personel oldukça nazik ve yardımseverdi.",personel,2
Sunum gerçekten etkileyiciydi.,Sunum,2
Bu akşamki akşam yemeği gerçekten harikaydı.,akşam yemeği,2
"Geleneksel mezelerden hoşlanmayanlar için, yeni lezzetler denemek harika bir seçenek.",yeni lezzetler,2
Manzara açısından en etkileyici seçenek olmasa da başlangıç tabakaları ve diğer mezeler mutlaka tadılmalı.,Manzara,1
Manzara açısından en etkileyici alternatifleri sunmasa da mezelerinin tadına bakmak kesinlikle gerekli.,mezeleri,2
Manzara açısından en etkileyici seçeneği sunmasa da mezeleri özellikle denemek için harika bir fırsat.,mezeleri,2
"Cevizli yoğurtlu mezeler, burada tadına doyulmaz bir seçenek.",Cevizli yoğurtlu mezeler,2
Her bir kişi için 70 liraya içecekleriniz ve atıştırmalıklarınızla keyifli bir akşam yaşamanız mümkün.,Her bir kişi için,2
Her bir kişi için 70 liraya içkiniz ve atıştırmalıklarınızla harika bir gece yaşamanız mümkün.,atıştırmalıklarınızla,2
"Lokasyon açısından harika bir yerde, manzarası muhteşem.",Lokasyon,2
"Lokasyon açısından harika bir yerde, manzarası muhteşem.",manzarası,2
"Portakal suyu oldukça ferahlatıcıydı, 'zeytinli ekmek' ile harika bir uyum sağlamış, gerçekten hoşuma gitti.",Portakal suyu,2
"Portakal suyu oldukça ferahlatıcıydı, 'kumpir' ile mükemmel bir uyum sağlamışlar, harika bir deneyim sundu.",Portakal suyu,2
"Limonata oldukça büyük ve tadı harikaydı, 'kumpir' ile yeni bir deneyim sunmuşlar, oldukça ilginçti.",kumpir,1
"Fakat restoranın en büyük sorunu servis hızı, oldukça yavaşlar!",servis hızı,0
Bence bir restoranda bulunması gereken en önemli şey 'müşteri memnuniyeti'. Harika bir manzara ve güzel bir konum bu durumu destekliyor!,müşteri memnuniyeti,2
Bence bir restoranda bulunması gereken en önemli özellik 'hizmet kalitesi' ve harika bir deniz manzarası!,deniz manzarası,2
Lezzetli bir kahvaltı yapmak için mükemmel bir mekan.,kahvaltı,2
Manzarası gerçekten harika.,Manzarası,2
Garsonlar daha samimi olabilseydi çok iyi olurdu.,Garsonlar,0
"Fiyatlar oldukça makul, kişi başı 50 TL.",kişi başı,1
Çeşitli lezzetler sunan bir açık büfe mevcut.,açık büfe,2
Burası oldukça hoş bir mekan.,mekan,2
Bu kadar yüksek beklentilerle geldiğim bu mekanda yediklerimden hiç memnun kalmadım.,yediklerimden,0
"Servis elemanları, restoranın görünümü harika ama yemeklerin tadı pek tatmin edici değil.",Servis elemanları,0
"Garsonlar çok ilgili, mekanın görünümü harika fakat yemeklerin tadı pek tatmin edici değil.",mekanın görünümü,2
"Garsonlar oldukça güler yüzlü, mekanın manzarası harika ama yemeklerin tadı beklediğim gibi değil.",yemekler,0
"Personelin ilgisi harika, fakat yemeklerin tadı beklediğim gibi değildi.",lezzet,0
Restoranın menüsünde yer alan kalamar gerçekten kötüydü.,kalamar,0
Bu mekanın atmosferi gerçekten etkileyici değil,mekanın atmosferi,0
"Zamanla hoşlandığımız yerlerin sayısı azalmışken, yeni mekanlar keşfettikçe unutmaya başladığımız yerlerden biri.",yerlerden,1
Bahçesi gerçekten çok ferah ve keyifliydi.,Bahçesi,2
"Manzara harika fakat yemekler çok geç geliyor, bir daha asla beklemem.",Manzara,2
"Manzara harika ama yemekler gerçekten kötü, 3 kez istemeden getirmiyorlar, iki kez değil 5 kez düşünün gelmeden.",yemekler,0
Bir tarafı park bir tarafı inşaat manzaralı fakat oldukça kalabalık bir kafe.,manzaralı,0
Bir tarafı deniz manzaralı bir tarafı da ormanla çevrili ama fiyatları biraz yüksek bir restoran.,restoran,1
Otoyol üzerinde yer aldığı için hızlı bir şekilde ulaşım sağlamak amacıyla tercih ettik.,Otoyol üzerinde,2
Bahçesi oldukça hoş ama yemekler pek lezzetli değildi.,Bahçesi,1
"Bahçesi oldukça hoştu, fakat yemekler çok lezzetli değildi.",yemekler,0
Sipariş ettiğimiz yemek için uzun süre bekledik ama sonuçta hayal kırıklığı yaratan bir restoran olduğu için puanım 2.5.,bekledik,0
İçinde oturduğumuz mekan oldukça huzurluydu ama kahvelerinin kalitesi beklediğimden düşük çıktı.,mekan,2
"Beşiktaş'taki yeni açılan kafe, sabaha kadar açık, gece geç saatlerde gelenler için harika bir seçenek ve paket servisi de mevcut, içindeki pizzalar da oldukça lezzetli.",pizzalar,2
Pizzaları gerçekten lezzetliydi.,Pizzaları,2
Açıkçası herkes ince hamur pizzaları çok seviyor ama ben kalın hamur olanları tercih ediyorum.,hamur,0
Ancak Pizzeria Trio'nun pizzaları da harika.,pizzaları,2
Etin kalitesi pek iyi değildi ama diğer ürünler oldukça tatlıydı.,Etin,0
Etin tadı hoş değildi ama diğer ürünler oldukça iyiydi.,ürünler,2
Bu mekanın manzarası gerçekten büyüleyici.,manzarası,2
"Bu restoranın pizzası gerçekten harika, kesinlikle denemelisiniz.",Pizza,2
"Restoranın atmosferi harika, yemekler de oldukça lezzetli.",atmosfer,2
"Şarap, peynir ve güzel bir manzara ile harika bir akşam geçirilebilir.",şarap,2
"Bahçesi gerçekten harika, gitmenizi tavsiye ederim.",bahçesi,2
Dış mekan oldukça ferah.,dış mekan,2
"İçecekler harika, fakat atıştırmalıklar konusunda aynı şeyi söyleyemem.",İçecekler,2
"İçecekler harika, fakat atıştırmalık olarak hamburger tercih ederseniz hiç memnun kalmayabilirsiniz.",hamburger,0
Yemekler oldukça lezzetli ama tabaklar çok küçük.,Yemekler,2
Yemekler gayet lezzetli ama tabaklar aşırı küçük.,tabaklar,0
Ücretler oldukça yüksek görünüyor.,Ücretler,0
"Bu mekan bir zamanlar çok sevdiğim bir yerdi, fakat menüsü değiştiği için artık yemeklerin tadı hiç hoş değil, lezzeti oldukça kötüleşti.",lezzet,0
"Atmosfer açısından bakarsak, hem dış kısmı hem de iç kısmındaki geniş masalarıyla oldukça hoş bir yer.",yer,2
Mekanın iç tasarımı oldukça modern ve dış bahçesi ferah bir atmosfer sunuyor.,dış bahçesi,2
Mekanın dış kısmı oldukça hoş ama iç kısmı ferah ve geniş oturma alanlarıyla gerçekten çok keyifli.,iç kısmı,2
"Manzarası harika olan bu kafe, arkadaşlarla oturup keyifli vakit geçirmek için mükemmel bir yer.",kafe,2
Kadıköy'de bulunan pub'lar harika bir atmosfere sahip.,pub'lar,2
Önceki personelin daha profesyonel ve yardımsever olduğunu düşünüyorum.,personelin,0
"Çalışanların farklı giyim tarzlarını hoş karşılamakla birlikte, bu tarzların biraz aşırıya kaçması hizmet kalitesini olumsuz etkiliyor.",çalışanların,0
Çalışanların daha mutlu görünmesi gerekiyor.,çalışan profili,0
"Garsonlar oldukça ilgiliydi, fakat yemekler sıradan.",Garsonlar,2
"Yemeklerin lezzeti fena değil, ama sunum yetersiz.",yemekler,1
Farklı kokteyller tatmak ve arkadaşlarla sohbet etmek için burası ideal.,kokteyller,2
Farklı türde şarap tatmak ve konser izlemek için kesinlikle gidilmeli.,konser,2
Yemeklerin lezzeti oldukça düşük.,Yemekler,0
İçerideki gürültü yüzünden konuşmak zorlaşıyor.,gürültü,0
Garsonlar son derece ilgisizdi.,Garsonlar,0
Ürünlerin maliyeti oldukça uygun.,maliyet,2
Menü seçenekleri oldukça azdı.,Menü,0
"Cizbiz köftesi, lezzetli kahvaltı çeşitleri ve ferah ortamıyla kesinlikle gitmeye değer bir mekan.",Cizbiz köftesi,2
"Cizbiz köftesi, sütlü mocha kahvesi, detox çorbası ve hafta sonu kahvaltısı çeşitliliğiyle önerebileceğim bir mekan atmosferi, ulaşım kolaylığı konforuyla mutlaka denemenizi öneririm.",atmosferi,2
"Bu restoranın lezzetli yemekleri, geniş iç mekan tasarımı ve ulaşım kolaylığı ile kesinlikle gidilmesi gereken bir yer olduğunu düşünüyorum.",ulaşım,2
"Cizbiz köftesi, enfes kahvaltı çeşitleri ve hafta sonu için mükemmel bir mekan olarak tavsiye edebilirim, ayrıca ulaşım kolaylığı da oldukça iyi.",kahvaltı çeşitleri,2
"Cizbiz köftesi, kremalı latte ve zengin bir kahvaltı seçeneğiyle harika bir mekan sunuyor, ulaşım kolaylığı ile kesinlikle denemelisiniz.",kremalı latte,2
"Zengin bir kahvaltı menüsü, lezzetli tatlılar ve hızlı servisiyle bu mekan kesinlikle tercih edilmeli.",kahvaltı,2
Sosyal platformlarda tanınmaya başladıktan sonra hizmet kalitesi azalmış olan yerlerden biri.,hizmet kalitesi,0
"Arkadaşım dondurma çok güzel dedi, ben de pasta sipariş ettim.",dondurma,2
"Arkadaşım dondurmayı önerdi, ben de pasta sipariş ettim.",pasta,1
İkili durumu kötüydü ve kullanılan malzeme oldukça kalitesizdi.,malzeme,0
En azından menülerindeki yemeklere dikkat etmelerini umuyordum.,yemeklere,0
